image,label
data/images/img_144.jpg,mug
data/images/img_102.jpg,mug
data/images/img_193.jpg,no_mug
data/images/img_71.jpg,mug
data/images/img_0.jpg,mug
data/images/img_111.jpg,mug
data/images/img_160.jpg,no_mug
data/images/img_8.jpg,mug
data/images/img_106.jpg,mug
data/images/img_118.jpg,mug
data/images/img_64.jpg,mug
data/images/img_105.jpg,mug
data/images/img_127.jpg,mug
data/images/img_95.jpg,mug
data/images/img_175.jpg,no_mug
data/images/img_59.jpg,mug
data/images/img_186.jpg,no_mug
data/images/img_85.jpg,mug
data/images/img_101.jpg,mug
data/images/img_11.jpg,mug
data/images/img_130.jpg,mug
data/images/img_29.jpg,mug
data/images/img_136.jpg,mug
data/images/img_125.jpg,mug
data/images/img_121.jpg,mug
data/images/img_134.jpg,mug
data/images/img_65.jpg,mug
data/images/img_93.jpg,mug
data/images/img_190.jpg,no_mug
data/images/img_168.jpg,no_mug
data/images/img_61.jpg,mug
data/images/img_72.jpg,mug
data/images/img_47.jpg,mug
data/images/img_9.jpg,mug
data/images/img_84.jpg,mug
data/images/img_83.jpg,mug
data/images/img_128.jpg,mug
data/images/img_129.jpg,mug
data/images/img_148.jpg,mug
data/images/img_52.jpg,mug
data/images/img_104.jpg,mug
data/images/img_45.jpg,mug
data/images/img_170.jpg,no_mug
data/images/img_157.jpg,no_mug
data/images/img_34.jpg,mug
data/images/img_73.jpg,mug
data/images/img_55.jpg,mug
data/images/img_96.jpg,mug
data/images/img_86.jpg,mug
data/images/img_38.jpg,mug
data/images/img_33.jpg,mug
data/images/img_100.jpg,mug
data/images/img_123.jpg,mug
data/images/img_146.jpg,mug
data/images/img_139.jpg,mug
data/images/img_122.jpg,mug
data/images/img_114.jpg,mug
data/images/img_87.jpg,mug
data/images/img_194.jpg,no_mug
data/images/img_108.jpg,mug
data/images/img_124.jpg,mug
data/images/img_173.jpg,no_mug
data/images/img_138.jpg,mug
data/images/img_42.jpg,mug
data/images/img_27.jpg,mug
data/images/img_161.jpg,no_mug
data/images/img_12.jpg,mug
data/images/img_137.jpg,mug
data/images/img_31.jpg,mug
data/images/img_19.jpg,mug
data/images/img_63.jpg,mug
data/images/img_126.jpg,mug
data/images/img_112.jpg,mug
data/images/img_21.jpg,mug
data/images/img_24.jpg,mug
data/images/img_169.jpg,no_mug
data/images/img_158.jpg,no_mug
data/images/img_77.jpg,mug
data/images/img_22.jpg,mug
data/images/img_177.jpg,no_mug
data/images/img_91.jpg,mug
data/images/img_13.jpg,mug
data/images/img_5.jpg,mug
data/images/img_120.jpg,mug
data/images/img_185.jpg,no_mug
data/images/img_3.jpg,mug
data/images/img_179.jpg,no_mug
data/images/img_48.jpg,mug
data/images/img_49.jpg,mug
data/images/img_17.jpg,mug
data/images/img_176.jpg,no_mug
data/images/img_183.jpg,no_mug
data/images/img_140.jpg,mug
data/images/img_23.jpg,mug
data/images/img_115.jpg,mug
data/images/img_56.jpg,mug
data/images/img_166.jpg,no_mug
data/images/img_36.jpg,mug
data/images/img_89.jpg,mug
data/images/img_20.jpg,mug
data/images/img_82.jpg,mug
data/images/img_6.jpg,mug
data/images/img_153.jpg,no_mug
data/images/img_68.jpg,mug
data/images/img_62.jpg,mug
data/images/img_119.jpg,mug
data/images/img_171.jpg,no_mug
data/images/img_133.jpg,mug
data/images/img_46.jpg,mug
data/images/img_30.jpg,mug
data/images/img_76.jpg,mug
data/images/img_149.jpg,mug
data/images/img_187.jpg,no_mug
data/images/img_2.jpg,mug
data/images/img_37.jpg,mug
data/images/img_74.jpg,mug
data/images/img_88.jpg,mug
data/images/img_163.jpg,no_mug
data/images/img_142.jpg,mug
data/images/img_98.jpg,mug
data/images/img_69.jpg,mug
data/images/img_155.jpg,no_mug
data/images/img_39.jpg,mug
data/images/img_192.jpg,no_mug
data/images/img_60.jpg,mug
data/images/img_35.jpg,mug
data/images/img_152.jpg,mug
data/images/img_164.jpg,no_mug
data/images/img_41.jpg,mug
data/images/img_156.jpg,no_mug
data/images/img_178.jpg,no_mug
data/images/img_172.jpg,no_mug
data/images/img_80.jpg,mug
data/images/img_109.jpg,mug
data/images/img_107.jpg,mug
